country;years;beer_servings;spirit_servings;wine_servings;total_consume;continent;continent_abbr
East Timor;66.89677;1;1;4;6;Asia
Togo;58.42831;36;2;19;57;Africa
Tonga;71.48373;36;21;5;62;Oceania
Trinidad and Tobago;70.53188;197;156;7;360;Central America
Tunisia;76.07588;51;3;20;74;Africa
Turkey;75.38882;51;22;7;80;Asia
Turkmenistan;63.57362;19;71;32;122;Asia
Tuvalu;67.98926;6;41;9;56;Oceania
Uganda;58.54477;45;9;0;54;Africa
Ukraine;70.85694;206;237;45;488;Europe
United Arab Emirates;76.63969;16;135;5;156;Asia
United Kingdom;81.00252;219;126;195;540;Europe
United States of America;78.7946;115;35;220;370;North America
Uruguay;77.43123;249;158;84;491;South America
Uzbekistan;69.20962;25;101;8;134;Asia
Vanuatu;72.2857;21;18;11;50;Oceania
Venezuela;75.92431;333;100;3;436;South America
Vietnam;75.68709;111;2;1;114;Asia
Yemen;64.25762;6;0;0;6;Asia
Zambia;58.4628;32;19;4;55;Africa
Zimbabwe;58.72677;64;18;4;86;Africa
United Republic of Tanzania;62.68134;36;6;1;43;Africa
