;aoi_id;f1_score;precision;recall;region
0;L15-0331E-1257N_1327_3160_13;0.5915751716897772;0.6100135317997294;0.57421875;NA_AU
1;L15-0357E-1223N_1429_3296_13;0.7022917112872135;0.6459447289919513;0.7694086886564763;NA_AU
2;L15-0358E-1220N_1433_3310_13;0.6710364123735544;0.5985758168109466;0.7634566582075598;NA_AU
3;L15-0361E-1300N_1446_2989_13;0.7311126674253698;0.6543780607247797;0.8282342440620816;NA_AU
4;L15-0368E-1245N_1474_3210_13;0.8018258047065187;0.7134502220243324;0.9151911825998363;NA_AU
5;L15-0387E-1276N_1549_3087_13;0.7254829881958911;0.6596598083636633;0.8058983666061706;NA_AU
6;L15-0434E-1218N_1736_3318_13;0.08097686375321332;0.047547169811320754;0.2727272727272727;NA_AU
7;L15-0457E-1135N_1831_3648_13;0.7510449534132668;0.752122645016431;0.7499703457683411;NA_AU
8;L15-0487E-1246N_1950_3207_13;0.714433916591742;0.6405009920634921;0.8076622361219703;NA_AU
9;L15-0506E-1204N_2027_3374_13;0.6870475657874296;0.6639644508496968;0.7117934852581435;NA_AU
10;L15-0544E-1228N_2176_3279_13;0.6898396518836432;0.6352632806817714;0.7546748398245814;NA_AU
11;L15-0566E-1185N_2265_3451_13;0.4728808054563169;0.46786632390745503;0.4780039395929087;NA_AU
12;L15-0571E-1075N_2287_3888_13;0.8098859075250465;0.823476483669036;0.7967366431200875;NA_AU
13;L15-0577E-1243N_2309_3217_13;0.6250719193149895;0.6082131331093986;0.6428919521024784;NA_AU
14;L15-0586E-1127N_2345_3680_13;0.7516682137415274;0.7248927473566869;0.7804975631046774;NA_AU
15;L15-0595E-1278N_2383_3079_13;0.6991117227574126;0.6550228578126831;0.7495640509725017;NA_AU
16;L15-1848E-0793N_7394_5018_13;0.69983490920006;0.6924561924561925;0.707372572815534;NA_AU
17;L15-0614E-0946N_2459_4406_13;0.7587561256846352;0.7220326778335934;0.7994153489873009;SA
18;L15-0632E-0892N_2528_4620_13;0.6495555958643204;0.5281451256083771;0.8434482217162597;SA
19;L15-0683E-1006N_2732_4164_13;0.7911763465350709;0.7613751674310996;0.8234054694701725;SA
20;L15-0760E-0887N_3041_4643_13;0.8018280852531582;0.7606063911004471;0.847773894544902;SA
21;L15-0924E-1108N_3699_3757_13;0.7502366705367509;0.716268758526603;0.7875867241702607;SSA
22;L15-1015E-1062N_4061_3941_13;0.6136313132916413;0.7367177376324415;0.5257860950930258;SSA
23;L15-1185E-0935N_4742_4450_13;0.6975730041308881;0.6432697228924472;0.7618899165194499;SSA
24;L15-1200E-0847N_4802_4803_13;0.7205566228776155;0.7218835181755758;0.7192345965668795;SSA
25;L15-1209E-1113N_4838_3737_13;0.720423546302943;0.6519733636511288;0.8049328253458994;SSA
26;L15-1210E-1025N_4840_4088_13;0.661497404862468;0.6979734823289433;0.6286444604201613;SSA
27;L15-0977E-1187N_3911_3441_13;0.718360529358859;0.7195624195624195;0.7171626475115443;NAF_ME
28;L15-1138E-1216N_4553_3325_13;0.6567777036390698;0.6514777384619301;0.6621646096923595;NAF_ME
29;L15-1203E-1203N_4815_3378_13;0.49463587025116734;0.6859793453527043;0.3867561432941873;NAF_ME
30;L15-1204E-1202N_4816_3380_13;0.5311938783477784;0.6760409420649905;0.43746382869268857;NAF_ME
31;L15-1204E-1204N_4819_3372_13;0.8031100185755758;0.7393806578462294;0.8788616500718164;NAF_ME
32;L15-1276E-1107N_5105_3761_13;0.4466719492868462;0.6684453930985415;0.33539596596656157;NAF_ME
33;L15-1289E-1169N_5156_3514_13;0.7234677064616898;0.6691076082909272;0.7874415736172423;NAF_ME
34;L15-1296E-1198N_5184_3399_13;0.37010977832407904;0.571690454366898;0.2736274755577839;NAF_ME
35;L15-1335E-1166N_5342_3524_13;0.4168297455968688;0.7016837481698389;0.29647386328487474;NAF_ME
36;L15-1014E-1375N_4056_2688_13;0.7679574439965637;0.6975062269303484;0.8542394060788709;EU
37;L15-1025E-1366N_4102_2726_13;0.71253534401508;0.651931194117914;0.7855619360131255;EU
38;L15-1049E-1370N_4196_2710_13;0.4351125354551146;0.368342272670575;0.531449653558895;EU
39;L15-1172E-1306N_4688_2967_13;0.684461792523645;0.6441367617971179;0.7301729660474056;EU
40;L15-1298E-1322N_5193_2903_13;0.48871061654913617;0.5949905482041588;0.41464485673509716;EU
41;L15-1389E-1284N_5557_3054_13;0.6412360251427474;0.5279292091332859;0.8164711632453568;AS
42;L15-1438E-1134N_5753_3655_13;0.7084395653635038;0.6691184561344111;0.752670665524136;AS
43;L15-1439E-1134N_5759_3655_13;0.7120750887874174;0.616679115954128;0.8423864113798691;AS
44;L15-1479E-1101N_5916_3785_13;0.6070692194403533;0.7060637204522097;0.5324205631619736;AS
45;L15-1481E-1119N_5927_3715_13;0.5673659376394822;0.4643565389834047;0.7291052114060964;AS
46;L15-1538E-1163N_6154_3539_13;0.6773367959502435;0.6193622769431969;0.7472853731963044;AS
47;L15-1615E-1205N_6460_3370_13;0.6691013762705764;0.7449126742509213;0.6072956467783547;AS
48;L15-1615E-1206N_6460_3366_13;0.6665963327917624;0.658798014764149;0.6745814827468398;AS
49;L15-1617E-1207N_6468_3360_13;0.6662157930991295;0.652719151860214;0.6802823746067473;AS
50;L15-1669E-1153N_6678_3579_13;0.5840550480484041;0.5395068493150685;0.6366222682012156;AS
51;L15-1669E-1160N_6678_3548_13;0.6641768358883049;0.720837064617995;0.6157748520352699;AS
52;L15-1669E-1160N_6679_3549_13;0.6059250302297459;0.6205572755417956;0.5919669226225635;AS
